tick,humans,zombies
288,9902,108
289,9901,109
290,9900,110
291,9900,110
292,9900,110
293,9900,110
294,9900,110
295,9900,110
296,9900,110
297,9900,110
298,9899,111
299,9897,113
300,9896,114
301,9895,115
302,9895,115
303,9895,115
304,9895,115
305,9892,118
306,9891,119
307,9891,119
308,9891,119
309,9890,120
310,9890,120
311,9890,120
312,9890,120
313,9890,120
314,9888,122
315,9887,123
316,9886,124
317,9886,124
318,9886,124
319,9886,124
320,9886,124
321,9886,124
322,9886,124
323,9886,124
324,9886,124
325,9886,124
326,9886,124
327,9886,124
328,9885,125
329,9885,125
330,9885,125
331,9884,126
332,9884,126
333,9884,126
334,9884,126
335,9884,126
336,9884,126
337,9884,126
338,9884,126
339,9884,126
340,9881,129
341,9881,129
342,9881,129
343,9881,129
344,9880,130
345,9879,131
346,9879,131
347,9879,131
348,9877,133
349,9877,133
350,9875,135
351,9875,135
352,9874,136
353,9873,137
354,9871,139
355,9871,139
356,9870,140
357,9869,141
358,9869,141
359,9869,141
360,9869,141
361,9868,142
362,9865,145
363,9865,145
364,9865,145
365,9865,145
366,9864,146
367,9864,146
368,9864,146
369,9864,146
370,9863,147
371,9862,148
372,9862,148
373,9862,148
374,9861,149
375,9861,149
376,9860,150
377,9859,151
378,9858,152
379,9858,152
380,9858,152
381,9858,152
382,9857,153
383,9856,154
384,9856,154
385,9856,154
386,9855,155
387,9855,155
388,9854,156
389,9852,158
390,9852,158
391,9852,158
392,9851,159
393,9851,159
394,9850,160
395,9848,162
396,9848,162
397,9847,163
398,9845,165
399,9845,165
400,9845,165
401,9845,165
402,9843,167
403,9841,169
404,9841,169
405,9841,169
406,9841,169
407,9841,169
408,9840,170
409,9840,170
410,9839,171
411,9838,172
412,9838,172
413,9838,172
414,9837,173
415,9836,174
416,9836,174
417,9836,174
418,9836,174
419,9836,174
420,9835,175
421,9835,175
422,9833,177
423,9832,178
424,9832,178
425,9831,179
426,9831,179
427,9830,180
428,9828,182
429,9827,183
430,9827,183
431,9824,186
432,9823,187
433,9822,188
434,9821,189
435,9820,190
436,9820,190
437,9818,192
438,9818,192
439,9818,192
440,9818,192
441,9818,192
442,9818,192
443,9816,194
444,9816,194
445,9814,196
446,9813,197
447,9813,197
448,9813,197
449,9813,197
450,9813,197
451,9813,197
452,9812,198
453,9812,198
454,9811,199
455,9811,199
456,9811,199
457,9811,199
458,9811,199
459,9811,199
460,9811,199
461,9811,199
462,9809,201
463,9809,201
464,9809,201
465,9807,203
466,9806,204
467,9806,204
468,9806,204
469,9806,204
470,9806,204
471,9805,205
472,9803,207
473,9801,209
474,9800,210
475,9799,211
476,9799,211
477,9798,212
478,9797,213
479,9797,213
480,9797,213
481,9795,215
482,9794,216
483,9791,219
484,9791,219
485,9791,219
486,9790,220
487,9789,221
488,9789,221
489,9788,222
490,9785,225
491,9783,227
492,9782,228
493,9782,228
494,9781,229
495,9780,230
496,9780,230
497,9779,231
498,9778,232
499,9778,232
500,9776,234
501,9774,236
502,9773,237
503,9770,240
504,9768,242
505,9768,242
506,9767,243
507,9766,244
508,9765,245
509,9764,246
510,9764,246
511,9764,246
512,9763,247
513,9763,247
514,9761,249
515,9761,249
516,9759,251
517,9758,252
518,9758,252
519,9758,252
520,9758,252
521,9758,252
522,9758,252
523,9758,252
524,9756,254
525,9756,254
526,9755,255
527,9755,255
528,9755,255
529,9754,256
530,9754,256
531,9754,256
532,9754,256
533,9752,258
534,9752,258
535,9752,258
536,9752,258
537,9750,260
538,9750,260
539,9748,262
540,9747,263
541,9746,264
542,9745,265
543,9744,266
544,9742,268
545,9742,268
546,9742,268
547,9742,268
548,9741,269
549,9741,269
550,9741,269
551,9741,269
552,9740,270
553,9740,270
554,9740,270
555,9739,271
556,9738,272
557,9738,272
558,9737,273
559,9737,273
560,9737,273
561,9737,273
562,9737,273
563,9735,275
564,9733,277
565,9732,278
566,9731,279
567,9728,282
568,9725,285
569,9724,286
570,9723,287
571,9721,289
572,9721,289
573,9721,289
574,9720,290
575,9720,290
576,9720,290
577,9718,292
578,9718,292
579,9715,295
580,9713,297
581,9713,297
582,9711,299
583,9711,299
584,9711,299
585,9711,299
586,9711,299
587,9710,300
588,9710,300
589,9710,300
590,9709,301
591,9708,302
592,9706,304
593,9706,304
594,9706,304
595,9706,304
596,9704,306
597,9703,307
598,9703,307
599,9703,307
600,9703,307
601,9702,308
602,9700,310
603,9699,311
604,9699,311
605,9699,311
606,9699,311
607,9696,314
608,9695,315
609,9695,315
610,9695,315
611,9694,316
612,9692,318
613,9691,319
614,9690,320
615,9688,322
616,9688,322
617,9685,325
618,9684,326
619,9683,327
620,9682,328
621,9682,328
622,9681,329
623,9679,331
624,9678,332
625,9677,333
626,9677,333
627,9676,334
628,9676,334
629,9675,335
630,9674,336
631,9672,338
632,9672,338
633,9672,338
634,9671,339
635,9671,339
636,9671,339
637,9671,339
638,9670,340
639,9670,340
640,9670,340
641,9670,340
642,9669,341
643,9668,342
644,9667,343
645,9667,343
646,9667,343
647,9667,343
648,9665,345
649,9665,345
650,9662,348
651,9662,348
652,9661,349
653,9661,349
654,9661,349
655,9661,349
656,9660,350
657,9659,351
658,9659,351
659,9658,352
660,9657,353
661,9654,356
662,9654,356
663,9654,356
664,9653,357
665,9652,358
666,9652,358
667,9650,360
668,9649,361
669,9649,361
670,9649,361
671,9647,363
672,9647,363
673,9647,363
674,9644,366
675,9644,366
676,9644,366
677,9644,366
678,9643,367
679,9642,368
680,9641,369
681,9640,370
682,9640,370
683,9640,370
684,9639,371
685,9638,372
686,9637,373
687,9636,374
688,9636,374
689,9636,374
690,9636,374
691,9635,375
692,9633,377
693,9633,377
694,9633,377
695,9633,377
696,9633,377
697,9630,380
698,9628,382
699,9628,382
700,9626,384
701,9626,384
702,9625,385
703,9624,386
704,9624,386
705,9624,386
706,9623,387
707,9622,388
708,9622,388
709,9619,391
710,9617,393
711,9616,394
712,9612,398
713,9610,400
714,9610,400
715,9610,400
716,9610,400
717,9607,403
718,9607,403
719,9607,403
720,9607,403
721,9606,404
722,9606,404
723,9605,405
724,9605,405
725,9604,406
726,9603,407
727,9600,410
728,9600,410
729,9599,411
730,9596,414
731,9594,416
732,9594,416
733,9593,417
734,9593,417
735,9592,418
736,9590,420
737,9589,421
738,9588,422
739,9586,424
740,9585,425
741,9583,427
742,9582,428
743,9581,429
744,9580,430
745,9579,431
746,9577,433
747,9576,434
748,9576,434
749,9575,435
750,9572,438
751,9571,439
752,9568,442
753,9566,444
754,9565,445
755,9561,449
756,9560,450
757,9558,452
758,9558,452
759,9556,454
760,9556,454
761,9556,454
762,9555,455
763,9554,456
764,9553,457
765,9553,457
766,9552,458
767,9551,459
768,9550,460
769,9549,461
770,9546,464
771,9542,468
772,9542,468
773,9540,470
774,9539,471
775,9536,474
776,9534,476
777,9532,478
778,9529,481
779,9528,482
780,9528,482
781,9528,482
782,9527,483
783,9526,484
784,9526,484
785,9523,487
786,9523,487
787,9521,489
788,9520,490
789,9516,494
790,9514,496
791,9513,497
792,9512,498
793,9511,499
794,9509,501
795,9509,501
796,9508,502
797,9508,502
798,9505,505
799,9504,506
800,9502,508
801,9502,508
802,9502,508
803,9501,509
804,9500,510
805,9498,512
806,9498,512
807,9497,513
808,9493,517
809,9493,517
810,9492,518
811,9490,520
812,9490,520
813,9490,520
814,9490,520
815,9487,523
816,9485,525
817,9483,527
818,9482,528
819,9481,529
820,9480,530
821,9476,534
822,9476,534
823,9475,535
824,9475,535
825,9473,537
826,9472,538
827,9472,538
828,9470,540
829,9467,543
830,9466,544
831,9464,546
832,9464,546
833,9463,547
834,9461,549
835,9460,550
836,9459,551
837,9457,553
838,9456,554
839,9456,554
840,9456,554
841,9455,555
842,9455,555
843,9454,556
844,9453,557
845,9452,558
846,9451,559
847,9451,559
848,9448,562
849,9448,562
850,9444,566
851,9443,567
852,9443,567
853,9440,570
854,9438,572
855,9437,573
856,9434,576
857,9433,577
858,9433,577
859,9430,580
860,9429,581
861,9427,583
862,9426,584
863,9421,589
864,9418,592
865,9418,592
866,9416,594
867,9416,594
868,9413,597
869,9410,600
870,9409,601
871,9408,602
872,9408,602
873,9407,603
874,9406,604
875,9405,605
876,9402,608
877,9401,609
878,9401,609
879,9398,612
880,9397,613
881,9396,614
882,9395,615
883,9393,617
884,9391,619
885,9389,621
886,9388,622
887,9387,623
888,9386,624
889,9385,625
890,9381,629
891,9381,629
892,9380,630
893,9378,632
894,9376,634
895,9375,635
896,9373,637
897,9372,638
898,9371,639
899,9369,641
900,9367,643
901,9366,644
902,9365,645
903,9364,646
904,9362,648
905,9361,649
906,9360,650
907,9359,651
908,9359,651
909,9358,652
910,9357,653
911,9354,656
912,9354,656
913,9353,657
914,9353,657
915,9353,657
916,9351,659
917,9350,660
918,9349,661
919,9349,661
920,9349,661
921,9348,662
922,9346,664
923,9346,664
924,9344,666
925,9344,666
926,9340,670
927,9340,670
928,9340,670
929,9340,670
930,9338,672
931,9337,673
932,9336,674
933,9335,675
934,9333,677
935,9331,679
936,9330,680
937,9328,682
938,9328,682
939,9328,682
940,9328,682
941,9325,685
942,9323,687
943,9322,688
944,9322,688
945,9321,689
946,9319,691
947,9318,692
948,9318,692
949,9315,695
950,9313,697
951,9310,700
952,9310,700
953,9310,700
954,9310,700
955,9308,702
956,9307,703
957,9307,703
958,9304,706
959,9304,706
960,9302,708
961,9300,710
962,9298,712
963,9296,714
964,9295,715
965,9295,715
966,9295,715
967,9295,715
968,9295,715
969,9294,716
970,9291,719
971,9287,723
972,9286,724
973,9285,725
974,9283,727
975,9282,728
976,9282,728
977,9282,728
978,9278,732
979,9277,733
980,9274,736
981,9274,736
982,9273,737
983,9272,738
984,9271,739
985,9271,739
986,9268,742
987,9267,743
988,9265,745
989,9263,747
990,9261,749
991,9259,751
992,9258,752
993,9258,752
994,9257,753
995,9256,754
996,9254,756
997,9254,756
998,9252,758
999,9251,759
1000,9251,759
