tick,humans,zombies
1,10000,10
2,10000,10
3,10000,10
4,10000,10
5,10000,10
6,10000,10
7,10000,10
8,10000,10
9,10000,10
10,10000,10
11,10000,10
12,10000,10
13,9997,13
14,9997,13
15,9997,13
16,9997,13
17,9997,13
18,9997,13
19,9997,13
20,9997,13
21,9996,14
22,9996,14
23,9996,14
24,9996,14
25,9996,14
26,9996,14
27,9996,14
28,9996,14
29,9996,14
30,9996,14
31,9995,15
32,9995,15
33,9995,15
34,9995,15
35,9995,15
36,9995,15
37,9995,15
38,9995,15
39,9995,15
40,9995,15
41,9995,15
42,9995,15
43,9995,15
44,9995,15
45,9994,16
46,9994,16
47,9994,16
48,9993,17
49,9992,18
50,9992,18
51,9992,18
52,9992,18
53,9992,18
54,9992,18
55,9991,19
56,9991,19
57,9991,19
58,9991,19
59,9991,19
60,9991,19
61,9990,20
62,9990,20
63,9990,20
64,9989,21
65,9989,21
66,9989,21
67,9988,22
68,9988,22
69,9988,22
70,9988,22
71,9987,23
72,9987,23
73,9987,23
74,9987,23
75,9987,23
76,9987,23
77,9987,23
78,9987,23
79,9987,23
80,9987,23
81,9987,23
82,9987,23
83,9987,23
84,9987,23
85,9987,23
86,9987,23
87,9986,24
88,9984,26
89,9984,26
90,9984,26
91,9984,26
92,9984,26
93,9984,26
94,9984,26
95,9984,26
96,9983,27
97,9982,28
98,9982,28
99,9982,28
100,9982,28
101,9982,28
102,9982,28
103,9982,28
104,9980,30
105,9980,30
106,9979,31
107,9978,32
108,9976,34
109,9976,34
110,9975,35
111,9975,35
112,9974,36
113,9973,37
114,9973,37
115,9973,37
116,9973,37
117,9972,38
118,9970,40
119,9970,40
120,9969,41
121,9969,41
122,9968,42
123,9968,42
124,9967,43
125,9967,43
126,9966,44
127,9966,44
128,9966,44
129,9965,45
130,9965,45
131,9965,45
132,9965,45
133,9964,46
134,9964,46
135,9963,47
136,9962,48
137,9962,48
138,9962,48
139,9961,49
140,9961,49
141,9961,49
142,9961,49
143,9960,50
144,9959,51
145,9959,51
146,9959,51
147,9959,51
148,9957,53
149,9957,53
150,9957,53
151,9957,53
152,9955,55
153,9955,55
154,9955,55
155,9955,55
156,9955,55
157,9955,55
158,9954,56
159,9954,56
160,9952,58
161,9951,59
162,9950,60
163,9950,60
164,9950,60
165,9950,60
166,9950,60
167,9950,60
168,9950,60
169,9950,60
170,9950,60
171,9950,60
172,9950,60
173,9950,60
174,9949,61
175,9948,62
176,9948,62
177,9947,63
178,9947,63
179,9947,63
180,9946,64
181,9946,64
182,9945,65
183,9945,65
184,9945,65
185,9944,66
186,9944,66
187,9944,66
188,9943,67
189,9943,67
190,9943,67
191,9943,67
192,9943,67
193,9943,67
194,9943,67
195,9943,67
196,9943,67
197,9943,67
198,9942,68
199,9941,69
200,9941,69
201,9941,69
202,9940,70
203,9940,70
204,9940,70
205,9939,71
206,9938,72
207,9937,73
208,9937,73
209,9937,73
210,9936,74
211,9936,74
212,9936,74
213,9936,74
214,9936,74
215,9936,74
216,9935,75
217,9934,76
218,9934,76
219,9934,76
220,9933,77
221,9933,77
222,9933,77
223,9933,77
224,9932,78
225,9931,79
226,9930,80
227,9929,81
228,9929,81
229,9929,81
230,9929,81
231,9928,82
232,9928,82
233,9928,82
234,9927,83
235,9927,83
236,9927,83
237,9927,83
238,9927,83
239,9927,83
240,9927,83
241,9926,84
242,9926,84
243,9926,84
244,9926,84
245,9925,85
246,9923,87
247,9922,88
248,9922,88
249,9922,88
250,9921,89
251,9920,90
252,9919,91
253,9919,91
254,9919,91
255,9919,91
256,9919,91
257,9919,91
258,9919,91
259,9919,91
260,9919,91
261,9917,93
262,9916,94
263,9916,94
264,9915,95
265,9913,97
266,9913,97
267,9913,97
268,9911,99
269,9911,99
270,9910,100
271,9909,101
272,9909,101
273,9909,101
274,9907,103
275,9907,103
276,9907,103
277,9907,103
278,9906,104
279,9906,104
280,9905,105
281,9905,105
282,9905,105
283,9904,106
284,9904,106
285,9904,106
286,9903,107
287,9902,108
