tick,humans,zombies
456,9732,278
457,9731,279
458,9731,279
459,9731,279
460,9730,280
461,9730,280
462,9728,282
463,9726,284
464,9726,284
465,9723,287
466,9723,287
467,9722,288
468,9722,288
469,9720,290
470,9720,290
471,9720,290
472,9719,291
473,9719,291
474,9719,291
475,9718,292
476,9717,293
477,9716,294
478,9714,296
479,9713,297
480,9711,299
481,9711,299
482,9711,299
483,9709,301
484,9707,303
485,9706,304
486,9706,304
487,9705,305
488,9703,307
489,9703,307
490,9702,308
491,9699,311
492,9699,311
493,9699,311
494,9696,314
495,9694,316
496,9693,317
497,9693,317
498,9693,317
499,9692,318
500,9691,319
501,9691,319
502,9689,321
503,9688,322
504,9688,322
505,9686,324
506,9685,325
507,9685,325
508,9685,325
509,9685,325
510,9683,327
511,9682,328
512,9680,330
513,9679,331
514,9676,334
515,9675,335
516,9672,338
517,9671,339
518,9671,339
519,9670,340
520,9669,341
521,9669,341
522,9668,342
523,9668,342
524,9668,342
525,9666,344
526,9666,344
527,9666,344
528,9666,344
529,9666,344
530,9665,345
531,9664,346
532,9662,348
533,9660,350
534,9658,352
535,9656,354
536,9653,357
537,9652,358
538,9652,358
539,9652,358
540,9652,358
541,9650,360
542,9650,360
543,9649,361
544,9649,361
545,9646,364
546,9646,364
547,9645,365
548,9645,365
549,9645,365
550,9643,367
551,9641,369
552,9639,371
553,9637,373
554,9637,373
555,9635,375
556,9632,378
557,9632,378
558,9632,378
559,9632,378
560,9632,378
561,9631,379
562,9631,379
563,9630,380
564,9629,381
565,9627,383
566,9626,384
567,9626,384
568,9625,385
569,9624,386
570,9622,388
571,9621,389
572,9620,390
573,9619,391
574,9619,391
575,9618,392
576,9617,393
577,9617,393
578,9617,393
579,9617,393
580,9616,394
581,9614,396
582,9613,397
583,9611,399
584,9608,402
585,9606,404
586,9606,404
587,9606,404
588,9606,404
589,9604,406
590,9602,408
591,9600,410
592,9599,411
593,9597,413
594,9597,413
595,9596,414
596,9595,415
597,9593,417
598,9592,418
599,9592,418
600,9591,419
601,9591,419
602,9590,420
603,9590,420
604,9589,421
605,9587,423
606,9587,423
607,9587,423
608,9586,424
609,9585,425
610,9585,425
611,9584,426
612,9583,427
613,9583,427
614,9580,430
615,9579,431
616,9577,433
617,9575,435
618,9572,438
619,9570,440
620,9569,441
621,9568,442
622,9568,442
623,9568,442
624,9568,442
625,9565,445
626,9563,447
627,9562,448
628,9562,448
629,9562,448
630,9560,450
631,9559,451
632,9559,451
633,9559,451
634,9559,451
635,9558,452
636,9558,452
637,9556,454
638,9555,455
639,9552,458
640,9550,460
641,9549,461
642,9548,462
643,9548,462
644,9548,462
645,9546,464
646,9546,464
647,9545,465
648,9543,467
649,9540,470
650,9538,472
651,9538,472
652,9537,473
653,9536,474
654,9536,474
655,9535,475
656,9532,478
657,9532,478
658,9530,480
659,9528,482
660,9527,483
661,9526,484
662,9526,484
663,9525,485
664,9524,486
665,9520,490
666,9520,490
667,9518,492
668,9516,494
669,9515,495
670,9515,495
671,9513,497
672,9513,497
673,9512,498
674,9512,498
675,9512,498
676,9511,499
677,9510,500
678,9509,501
679,9508,502
680,9507,503
681,9507,503
682,9507,503
683,9507,503
684,9507,503
685,9507,503
686,9507,503
687,9505,505
688,9503,507
689,9503,507
690,9503,507
691,9503,507
692,9501,509
693,9499,511
694,9499,511
695,9499,511
696,9498,512
697,9497,513
698,9497,513
699,9495,515
700,9495,515
701,9494,516
702,9493,517
703,9492,518
704,9492,518
705,9488,522
706,9486,524
707,9484,526
708,9482,528
709,9480,530
710,9478,532
711,9477,533
712,9476,534
713,9476,534
714,9476,534
715,9476,534
716,9475,535
717,9475,535
718,9474,536
719,9474,536
720,9473,537
721,9473,537
722,9471,539
723,9471,539
724,9467,543
725,9464,546
726,9464,546
727,9464,546
728,9462,548
729,9462,548
730,9461,549
731,9460,550
732,9459,551
733,9458,552
734,9457,553
735,9456,554
736,9455,555
737,9454,556
738,9453,557
739,9449,561
740,9449,561
741,9448,562
742,9446,564
743,9445,565
744,9445,565
745,9445,565
746,9445,565
747,9445,565
748,9445,565
749,9445,565
750,9443,567
751,9443,567
752,9442,568
753,9442,568
754,9442,568
755,9441,569
756,9441,569
757,9441,569
758,9441,569
759,9439,571
760,9439,571
761,9438,572
762,9436,574
763,9436,574
764,9433,577
765,9431,579
766,9431,579
767,9431,579
768,9430,580
769,9429,581
770,9427,583
771,9426,584
772,9426,584
773,9425,585
774,9424,586
775,9423,587
776,9420,590
777,9420,590
778,9418,592
779,9418,592
780,9416,594
781,9414,596
782,9413,597
783,9413,597
784,9412,598
785,9412,598
786,9411,599
787,9409,601
788,9408,602
789,9405,605
790,9405,605
791,9405,605
792,9403,607
793,9402,608
794,9401,609
795,9401,609
796,9401,609
797,9400,610
798,9399,611
799,9398,612
800,9396,614
